permission,feature
BLUETOOTH,android.hardware.bluetooth
BLUETOOTH_ADMIN,android.hardware.bluetooth
CAMERA,android.hardware.camera
CAMERA,android.hardware.camera.autofocus
ACCESS_MOCK_LOCATION,android.hardware.location
ACCESS_LOCATION_EXTRA_COMMANDS,android.hardware.location
INSTALL_LOCATION_PROVIDER,android.hardware.location
ACCESS_COARSE_LOCATION,android.hardware.location.network
ACCESS_COARSE_LOCATION,android.hardware.location
ACCESS_FINE_LOCATION,android.hardware.location.gps
ACCESS_FINE_LOCATION,android.hardware.location
RECORD_AUDIO,android.hardware.microphone
CALL_PHONE,android.hardware.telephony
CALL_PRIVILEGED,android.hardware.telephony
MODIFY_PHONE_STATE,android.hardware.telephony
PROCESS_OUTGOING_CALLS,android.hardware.telephony
READ_SMS,android.hardware.telephony
RECEIVE_SMS,android.hardware.telephony
RECEIVE_MMS,android.hardware.telephony
RECEIVE_WAP_PUSH,android.hardware.telephony
SEND_SMS,android.hardware.telephony
WRITE_APN_SETTINGS,android.hardware.telephony
WRITE_SMS,android.hardware.telephony
ACCESS_WIFI_STATE,android.hardware.wifi
CHANGE_WIFI_STATE,android.hardware.wifi
CHANGE_WIFI_MULTICAST_STATE,android.hardware.wifi
